Short Title,Member,Ministry,Date of Introduction
"THE CONSTITUTION (ONE HUNDRED AND THIRTY-FIRST AMENDMENT) BILL, 2026

GOVTCONSTITUTIONAL AMENDMENT BILL","--","LAW AND JUSTICE","16 Apr 2026

LOK SABHA"
"","","",""
"THE DELIMITATION BILL, 2026.

GOVTFINANCIAL BILL","--","LAW AND JUSTICE","16 Apr 2026

LOK SABHA"
"","","",""
"THE UNION TERRITORIES LAWS (AMENDMENT) BILL, 2026

GOVTORDINARY BILL","--","HOME AFFAIRS","16 Apr 2026

LOK SABHA"
"","","",""
"THE ANDHRA PRADESH REORGANISATION (AMENDMENT) BILL, 2026

GOVTORDINARY BILL","--","HOME AFFAIRS","1 Apr 2026

LOK SABHA"
"","","",""
"THE JAN VISHWAS (AMENDMENT OF PROVISIONS) BILL, 2026

GOVTORDINARY BILL","--","COMMERCE AND INDUSTRY","27 Mar 2026

LOK SABHA"
"","","",""
"THE FOREIGN CONTRIBUTION (REGULATION) AMENDMENT BILL, 2026

GOVTFINANCIAL BILL","--","HOME AFFAIRS","25 Mar 2026

LOK SABHA"
"","","",""
"THE CORPORATE LAWS (AMENDMENT) BILL, 2026

GOVTFINANCIAL BILL","--","FINANCE","23 Mar 2026

LOK SABHA"
"","","",""
"THE APPROPRIATION (NO. 2) BILL, 2026

GOVTMONEY BILL","--","FINANCE","18 Mar 2026

LOK SABHA"
"","","",""
"THE APPROPRIATION BILL, 2026

GOVTMONEY BILL","--","FINANCE","13 Mar 2026

LOK SABHA"
"","","",""
"THE TRANSGENDER PERSONS (PROTECTION OF RIGHTS) AMENDMENT BILL, 2026

GOVTORDINARY BILL","--","SOCIAL JUSTICE AND EMPOWERMENT","13 Mar 2026

LOK SABHA"
"","","",""
